"KZV_NR";"ABR_ZEIT";"KGR";"KK_NR_BKV";"PW_KCH";"PW_KFO";"PW_ZE";"PW_PAR";"PW_KBR";"PW_IP"
"32";"2026Q1";"9";"955007730800";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000633100";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000640400";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000647000";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000648800";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"956000651900";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000660800";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000661600";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"956000667400";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000670500";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"956000674700";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"956000683600";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"D";"956000692500";"1,2814";"1,1014";"1,1844";"1,2814";"1,2814";"1,4695"
"32";"2026Q1";"D";"956360057000";"1,2814";"1,1014";"1,1844";"1,2814";"1,2814";"1,4695"
"32";"2026Q1";"D";"956360075200";"1,2814";"1,1014";"1,1844";"1,2814";"1,2814";"1,4695"
"32";"2026Q1";"1";"999999999999";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
